,Center Name,Center ID,District,District ID,PIN Code,Paid/Free,Minimum Age,Vaccine,Dose Capacity,Predicted Time Range,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct
0,APOLLO HOSPITAL SHESHADRIPURAM,604866.0,BBMP,294.0,560020.0,Paid,18.0,COVISHIELD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KANVA DIAGNOSTIC1,568298.0,BBMP,294.0,560010.0,Paid,18.0,COVISHIELD,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,APOLLO HOSPITAL 1,566035.0,BBMP,294.0,560076.0,Paid,18.0,COVISHIELD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ST THERESAS HOSPITAL,615727.0,BBMP,294.0,560010.0,Paid,18.0,COVISHIELD,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Apollo Clinic Indiranagar,636194.0,BBMP,294.0,560038.0,Paid,18.0,COVISHIELD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Apollo Clinic Bellandur P3,671782.0,BBMP,294.0,560103.0,Paid,18.0,COVAXIN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,APOLLO SPECTRA HOSPITAL -1,694876.0,BBMP,294.0,560034.0,Paid,18.0,COVISHIELD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ST MARTHAS HOSITAL BLOCK 1,567829.0,BBMP,294.0,560001.0,Paid,18.0,COVISHIELD,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Columbia Asia Sarjapur P3,604421.0,BBMP,294.0,560103.0,Paid,18.0,COVISHIELD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FORTIS HOSPITAL NAGARABHAVI,571532.0,BBMP,294.0,560098.0,Paid,18.0,COVISHIELD,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
